objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
discgolf001,img_2619.jpg,,D2,image/jpeg,Blue Prodigy D2,Prodigy,,2022,yes,single-page; photographs,Blue Discs; Plain Designs; Signature Discs,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,BPD,BPD-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf002,img_2620.jpg,,Tiger,image/jpeg,Black Yikun Tiger,Yikun,,2022,yes,single-page; photographs,Black Discs; Mythical Creatures,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,BYT,BYT-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf003,img_2621.jpg,,Stalker,image/jpeg,Green Discraft Stalker,Discraft,,2024,yes,single-page; photographs,Green Discs; Tournament Discs; Mythical Creatures,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,GDS,GDS-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf004,img_2622.jpg,,Hypercane,image/jpeg,Yellow DGA Hypercane,DGA,,2024,yes,single-page; photographs,Yellow Discs; Plain Designs; Transparent; Glow in the Dark,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,YDH,YDH-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf005,img_2623.jpg,,Votum,image/jpeg,Yellow Thought Space Athletics Votum,Thought Space Athletics,,2024,yes,single-page; photographs,Yellow Discs; Animals; Transparent,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,YTSAV,YTSAV-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf006,img_2624.jpg,,Queen,image/jpeg,White Westside Queen,Westside,,2024,yes,single-page; photographs,White Discs; Mythical Creatures,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,WWQ,WWQ-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf007,img_2625.jpg,,Beast,image/jpeg,Pink Innova Beast,Innova,,2022,yes,single-page; photographs,Pink Discs; Plain Discs,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,PIB,PIB-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf008,img_2626.jpg,,Destroyer,image/jpeg,Pink Innova Destroyer,Innova,,2023,yes,single-page; photographs,Pink Discs; Mythical Creatures,Yeet Street Discs,35.8235,-78.8256,,Johnny Shanahan,Johnny Shanahan's iPhone,,PID,PID-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf009,img_2627.jpg,,Shryke,image/jpeg,White Innova Shryke,Innova,,2023,yes,single-page; photographs,White Discs; Park Discs; Premium Plastic; Transparent; Glow in the Dark,North Cove Leisure Club,35.6840,-82.0093,,Johnny Shanahan,Johnny Shanahan's iPhone,,WIS,WIS-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
discgolf010,img_2628.jpg,,Wolf,image/jpeg,Yellow Innova Wolf,Innova,,2022,yes,single-page; photographs,Yellow Discs; Animals,Infinite Discs,41.7370,-111.8338,,Johnny Shanahan,Johnny Shanahan's iPhone,,YIW,YIW-jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Johnny. For other uses beyond free use, please do not contact me.",,StillImage,eng,
